Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov," Dec""", Dec
1895,38.64,42.83,45.1,51.27,55.28,61.73,65.61,65.31,56.95,53.33,43.1,"41.25""",41.25
1896,42.76,45.19,45.33,47.4,52.43,60.75,69.49,65.75,59.14,53.24,38.4,"43.36""",43.36
1897,39.91,43.35,41.85,53.57,60.2,61.45,64.36,69.06,59.22,52.4,45.01,"43.10""",43.10
1898,39.74,45.95,43.93,51.75,55.43,61.69,66.3,66.46,60.88,51.45,44.04,"38.58""",38.58
1899,42.8,39.54,43.59,48.11,51.47,58.24,64.97,60.76,61.87,50.46,50.32,"41.63""",41.63
1900,42.3,41.67,50.43,50.99,55.81,61.53,65.27,61.64,58.31,49.83,45.72,"43.69""",43.69
1901,38.5,41.79,45.48,48.65,55.71,57.19,61.92,67.17,57.66,57.35,46.91,"40.14""",40.14
1902,37.72,45.1,44.43,48.51,54.91,59.75,63.37,64.93,59.49,53.4,43.9,"39.67""",39.67
1903,41.1,38.51,44.24,47.79,55.02,61.55,62.09,63.48,59.62,52.74,44.59,"39.75""",39.75
1904,40.3,39.93,42.55,53.08,55.9,61.11,65.19,66.25,61.3,54.06,48.64,"41.85""",41.85
1905,39.63,41.73,49.92,53.28,54.36,59.72,67.67,64.88,60.85,50.04,42.28,"39.42""",39.42
1906,42.41,43.75,44.26,53.93,56.11,58.63,70.55,67.21,60.42,53.44,45.34,"42.41""",42.41
1907,35.34,45.74,44.11,51.58,57.46,60.73,66.6,63.96,60.76,56.19,47.21,"43.07""",43.07
1908,41.68,42.18,45.78,51.68,52.07,59.68,67.1,64.02,58.85,51.04,47.86,"38.25""",38.25
1909,34.31,42.89,45.82,49.25,52.73,60.76,62.19,63.17,61.3,53.19,45.81,"35.14""",35.14
1910,37.27,37.98,49.92,51.46,57.28,57.61,65.81,62.56,58.33,54.24,44.68,"41.67""",41.67
1911,37.1,39.03,47.75,46.35,51.87,57.25,67.76,65.32,56.56,51.31,44.34,"39.62""",39.62
1912,41.38,44.31,44.31,48.2,56.48,60.96,65.04,63.91,59.64,48.67,45.41,"39.81""",39.81
1913,37.89,39.15,43.71,49.59,55.35,60.75,65.55,66.96,60.07,51.08,45.26,"39.61""",39.61
1914,43.79,41.97,49.62,52.11,58.15,58.98,67.12,65.61,57.95,54.68,45.1,"35.16""",35.16
1915,37.9,43.06,50.2,54.09,55.04,61.28,65.76,68.68,60.63,53.14,44.43,"41.05""",41.05
1916,31.15,44.87,45.28,51.17,52.68,59.94,62.46,66.07,60.67,50.42,41.63,"37.46""",37.46
1917,38.07,40.01,40.85,47.33,53.03,59.94,68.14,68.27,61.32,53.98,46.71,"46.50""",46.50
1918,44.17,41.11,45.46,50.77,53.41,64.74,64.63,64.97,64.99,53.82,43.39,"39.70""",39.70
1919,38.84,40.96,45.89,50.58,54.45,57.91,66.44,65.74,59.69,48.89,44.22,"33.60""",33.60
1920,39.56,40.75,44.08,47.6,53.29,60.36,65.71,67.29,59.49,50.87,44.7,"42.43""",42.43
1921,39.88,44.97,46.75,49.08,55.42,62.44,64.7,65.63,58.85,54.81,47.49,"38.41""",38.41
1922,36.12,39.2,42.85,47.53,56.27,64.67,67.41,65.03,62.53,53.38,41.18,"38.26""",38.26
1923,41.43,37.66,45.03,51.62,55.72,60.93,66.51,68.54,62.42,53.7,47.46,"40.34""",40.34
1924,37.62,46.76,45.16,51.95,59.49,62.9,66.52,65.09,59.95,52.61,43.32,"34.00""",34.00
1925,43.81,45.77,46.85,52.88,59.26,62.35,68.63,64.81,61.05,53.51,44.99,"43.78""",43.78
1926,40.8,47.1,51.65,57.89,57.17,65.55,68.11,65.99,59.22,55.2,48.3,"40.55""",40.55
1927,39.47,43.87,45.66,49.95,53.92,62.27,66.64,66.98,59.89,53.6,48.36,"37.56""",37.56
1928,40.18,42.93,49.78,50.04,59.76,61,67.47,65.8,60.04,52.42,44.78,"38.61""",38.61
1929,34.27,36.12,46.84,47.8,56.33,60.3,66.24,66.61,62.17,55.72,42.77,"43.60""",43.60
1930,28.64,45.73,49.11,53.9,53.66,59.66,65.08,67.21,61.48,52.13,44.12,"39.34""",39.34
1931,42.96,43.58,47.95,54.02,61.03,61.57,68.75,67.38,61.29,54.07,43.47,"39.59""",39.59
1932,39.41,41.42,47.66,51.22,56.09,64.26,63.9,66.13,62.79,55.53,47.85,"37.08""",37.08
1933,38.98,38.3,45.84,50.84,51.96,60.39,66.62,67.95,58.08,54.73,44.7,"46.26""",46.26
1934,45.59,47.42,53.87,57.08,59.18,62.68,65.05,67.61,61.37,56.2,49.01,"42.61""",42.61
1935,39.18,43.9,42.82,51.19,56.08,63.32,66.19,67.24,64.99,51.53,41.59,"39.58""",39.58
1936,42.68,36.38,45.06,54.22,59.27,63.3,66.57,67.54,62.19,56.02,42.3,"42.16""",42.16
1937,30.7,40.31,47.91,48.54,56.73,63.01,67.21,65.2,61.68,55.99,48.59,"42.57""",42.57
1938,40.06,42.23,45.65,52.23,57.94,64.06,69.78,64.57,65.47,54.39,42.64,"41.94""",41.94
1939,42.04,40.44,48.13,54.35,58.41,60.33,68.04,67.96,63.56,54.84,47.69,"45.39""",45.39
1940,40.97,45.82,50.35,53.47,60.08,65.4,66.79,68.57,63.9,56.36,43.72,"42.86""",42.86
1941,42.51,46.42,52.07,53.56,57.18,61.41,70.87,66.54,59.64,53.22,46.79,"42.43""",42.43
1942,36.36,42.76,45.86,51.88,55.35,59.64,68.76,68.96,63.2,54.37,45.59,"43.39""",43.39
1943,34.61,44.24,45.53,53.27,54.69,60.07,66.33,64.71,64.54,53.89,45.13,"39.18""",39.18
1944,38.93,42.27,45.39,49.85,55.72,59.87,65.82,64.58,63.17,56.56,44.13,"38.40""",38.40
1945,41.76,43.83,44.05,49.1,57.52,60.77,66.96,65.21,59.05,52.26,45.68,"41.50""",41.50
1946,40.37,42.61,46.17,50.88,58.23,60,66.34,66.13,59.78,49.64,43.1,"41.58""",41.58
1947,37.01,45,49.11,53.27,60.12,59.61,64.2,63.68,62.5,54.12,46.31,"41.65""",41.65
1948,39.58,40.07,43.92,47.33,54.61,63.87,64.52,63.73,60.42,51.43,42.9,"36.67""",36.67
1949,28.97,39.97,46.71,53.09,57.78,61.16,64.42,65.06,62.04,48.01,48.31,"39.74""",39.74
1950,30.69,39.69,44.3,49.36,54.82,61.72,66.83,67.99,62.12,52.21,46.71,"47.20""",47.20
1951,39.88,43.38,41.83,53.67,56.08,63.79,66.49,65.2,62.56,53.43,45.52,"38.43""",38.43
1952,37.85,41.53,44.28,51.75,56.13,58.26,66.96,65.41,63.85,57.53,39.24,"40.85""",40.85
1953,46.28,43.57,44.8,49.31,53.4,56.85,64.7,64.81,62.82,53.49,47.65,"42.30""",42.30
1954,39.77,42.84,43.12,49.28,55.94,56.99,62.42,62.55,59.54,51.45,49.14,"40.09""",40.09
1955,38.6,40.36,41.32,45.14,52.8,59.8,61.52,64.11,60.38,53.22,42.74,"41.21""",41.21
1956,41.26,36.28,43.77,51.09,58.1,58.09,66.96,64.95,61.79,51.43,42.53,"40.10""",40.10
1957,31.98,42.29,46.59,51.3,57.78,61.35,63.82,62.83,64.49,52.74,42.71,"42.90""",42.90
1958,42.22,48.52,44.87,50.26,60.63,64.06,70.46,69.87,62.25,55.43,46.44,"45.55""",45.55
1959,42.55,42.03,46.02,51.13,53.64,60.81,67.54,65.31,59.19,54.2,44.58,"40.02""",40.02
1960,36.4,42.31,45.19,49.82,52.92,61.77,67.37,63.53,61.42,53.92,45.53,"39.32""",39.32
1961,43.26,46.17,46.08,49.65,54.76,63.93,66.82,68.72,58.66,52.34,41.86,"41.19""",41.19
1962,37.09,41.58,43.55,51.74,51.19,59.27,64.37,64,62.27,52.47,47.23,"41.74""",41.74
1963,34.23,48.05,45.01,47.2,55.62,59.34,61.86,65.06,64.61,54.03,46.36,"39.59""",39.59
1964,41.18,41.23,43.68,47.85,52.13,58.7,64.82,63.64,58.78,53.74,41.94,"40.04""",40.04
1965,39.8,43.2,47.24,51.31,52.76,59.14,66.52,66.3,60.05,55.34,48.24,"38.18""",38.18
1966,39.76,41.22,44.77,51.54,55.53,60.77,64.33,65.61,62.6,52.74,46.85,"43.87""",43.87
1967,43.18,43.14,43.82,45.32,55.14,63.45,67.12,70.74,65.4,53.31,47.07,"40.77""",40.77
1968,39.91,47.52,47.79,47.69,54.22,60.44,66.07,64.02,60.71,51.56,46.11,"38.38""",38.38
1969,34.49,39.47,46.27,48.82,57.93,64.07,64.13,63.17,61.5,50.72,45.43,"41.78""",41.78
1970,41.12,45.19,46.13,46.32,54.55,63.64,66.06,64.82,58.08,51.18,45.76,"39.34""",39.34
1971,39.14,41.15,42.42,47.89,54.93,57.07,65.79,67.63,58.67,50.16,43.94,"38.82""",38.82
1972,38.3,42.85,48.24,46.02,56.58,60.85,67.8,68.04,58.76,52.14,46.51,"34.96""",34.96
1973,37.91,44.54,45.04,50,56.5,60.95,66.22,63.02,61.85,52.12,43.57,"43.58""",43.58
1974,36.52,41.06,45.85,49.16,53.05,61.28,64.53,66.66,65.66,53,46.37,"43.12""",43.12
1975,42.47,41.47,43.77,45.03,54.28,59.22,65.5,62.81,63.35,52.14,43.91,"42.16""",42.16
1976,40.98,40.98,43.29,47.77,54.33,57.14,64.52,63.85,62.64,53.42,46.91,"37.78""",37.78
1977,37.44,44.55,43.72,50.56,51.5,61.19,63.83,69.53,59.16,53.27,44.12,"43.57""",43.57
1978,41.82,45.53,49.35,49.63,53.56,63,66.45,66.2,59.53,53.96,39.95,"36.19""",36.19
1979,31.56,41.45,48.37,50.18,55.75,61.19,66.34,64.77,63.13,56.39,43.55,"43.46""",43.46
1980,37.04,43.29,45.41,51.16,53.94,57.66,65.95,62.93,61.51,54.07,47.08,"42.65""",42.65
1981,41.04,42.88,46.88,50.05,54.38,58.98,64.95,68.16,61.97,51.27,46.86,"42.71""",42.71
1982,37.6,41.88,44.94,46.67,55.05,62.53,64.29,65.78,61.24,53.22,42.22,"40.76""",40.76
1983,42.34,45.69,48.98,49.96,56.93,59.13,62.81,66.24,59.83,52.05,47.65,"36.01""",36.01
1984,41.76,44.08,49.04,48.08,53.14,57.97,65.6,65.24,60.64,50.34,44.84,"37.53""",37.53
1985,35.29,39.9,43.37,51.92,55,61.32,69.4,65.07,58.33,51.99,37.92,"33.13""",33.13
1986,42.79,43.75,50.72,48.93,54.94,64.17,62.79,69.39,58.84,54.63,46.74,"39.37""",39.37
1987,39.49,44.14,47.35,52.74,57.97,63.28,64.62,67.17,62.61,57.03,47.1,"38.82""",38.82
1988,38.84,43.38,46.29,51.3,53.81,59.88,66.55,65.64,62.01,57.18,46.55,"39.79""",39.79
1989,40.92,35.24,45.46,54.59,55.35,62.96,63.68,64.25,63.82,52.35,46.35,"39.26""",39.26
1990,42.13,40.15,47.74,52.99,54.37,60.85,68.66,67.95,64.78,51.4,46.15,"34.02""",34.02
1991,38.84,48.31,44.46,49.04,52.51,57.2,66.99,67.24,65.32,54.81,47.34,"41.16""",41.16
1992,43.27,47.89,50.83,53.82,60.24,65.13,67.66,68.08,61.53,54.83,46.26,"39.32""",39.32
1993,35.74,39.68,48.96,50.65,58.76,60.3,62.21,66.61,62.82,56.39,39.84,"39.24""",39.24
1994,43.28,41.25,49.06,51.83,57.47,59.55,67.91,65.92,64.53,52.22,40.87,"41.90""",41.90
1995,43.7,46.74,46.94,49.2,57.45,61.15,67.9,64.35,64.68,52.73,50.12,"42.35""",42.35
1996,42.15,42.22,47.36,51.84,52.92,59.81,69.16,67.15,59.55,52.38,45.22,"41.90""",41.90
1997,41.13,43.21,46.39,49.54,59.68,59.7,65.75,68.49,63.11,51.8,48.35,"39.13""",39.13
1998,43.67,45.17,47.26,49.68,54.2,60.49,68.47,67.64,64.35,52.68,47.24,"39.46""",39.46
1999,41.4,42.76,44.34,49.01,52.54,58.6,64.04,66.78,62.51,53.6,48.98,"41.94""",41.94
2000,39.59,43.53,44.36,51.6,55.56,62.46,64.84,64.9,62.01,53.59,41.4,"40.20""",40.20
2001,40.6,41.55,46.7,47.67,56.28,58.14,64.58,66.12,62.65,52.59,47.61,"41.12""",41.12
2002,40.89,43.59,43.43,50.41,53.25,60.79,67.5,65.97,62.7,52.4,46.31,"42.89""",42.89
2003,44.4,43.66,48.39,48.97,55.11,63.4,68.51,67.37,64.18,56.58,42.98,"41.84""",41.84
2004,40.03,43.77,49.32,51.93,56.79,62.36,68.7,68.89,60.83,54.49,43.73,"42.30""",42.30
2005,41.53,42.09,48.63,49.86,57.55,58.75,67.91,68.14,60.25,54.3,42.93,"38.91""",38.91
2006,43.87,41.55,44.35,51.06,56.96,63.26,68.86,65.88,62.51,52.27,46.22,"39.69""",39.69
2007,37.75,43.97,48.65,49.21,55.04,59.99,68.22,65.91,60.93,51.11,43.5,"40.09""",40.09
2008,36.63,42.31,43.16,46.2,56.03,57.91,66.69,66.91,61.6,51.83,47.98,"37.62""",37.62
2009,39.37,41.13,43.48,48.62,55.68,62.17,69.17,66.31,63.39,52,45.54,"35.92""",35.92
2010,45.07,45.99,46.54,48.67,52.71,58.79,65.97,65.61,61.92,53.47,45,"43.37""",43.37
2011,41.12,40.2,45.85,46.53,52.01,59.2,63.81,67.45,65.28,53.79,44.13,"37.71""",37.71
2012,40.72,42.66,43.27,51.21,54.59,58.9,65.35,67.69,62.87,54.46,47.54,"42.01""",42.01
2013,36.08,42.82,47.2,51.65,57.24,62.25,68.63,67.99,63.31,51.34,45.25,"34.57""",34.57
2014,40.04,41.21,48.59,50.92,58.19,60.94,69.98,70.47,64.86,58.3,45.34,"44.17""",44.17
2015,42.62,47.9,50.01,49.25,57.37,66.35,69.94,69.18,60.85,57.56,43.95,"42.97""",42.97
2016,35.2,46.63,47.74,54.86,58.19,62.93,65.98,68.43,60.96,54.29,46.64,"38.76""",38.76
2017,35.2,41.96,46.95,49.02,57.26,62.84,67.81,70.46,64.76,52.9,32,"38.82""",38.82