Year,Growth Index
1645,0.625
1646,0.844
1647,0.927
1648,0.731
1649,0.893
1650,0.839
1651,1.092
1652,0.793
1653,0.651
1654,0.631
1655,0.739
1656,0.99
1657,0.821
1658,0.914
1659,0.879
1660,0.784
1661,1.254
1662,1.336
1663,1.133
1664,1.178
1665,1.27
1666,1.017
1667,0.465
1668,1.52
1669,0.775
1670,0.637
1671,1.199
1672,1.775
1673,0.871
1674,1
1675,0.91
1676,0.653
1677,0.796
1678,0.895
1679,1.251
1680,1.067
1681,0.96
1682,1.171
1683,1.074
1684,1.384
1685,0.812
1686,0.647
1687,0.77
1688,0.833
1689,0.821
1690,0.554
1691,0.427
1692,0.724
1693,0.899
1694,0.972
1695,0.808
1696,1.468
1697,1.368
1698,1.053
1699,1.082
1700,1.38
1701,0.959
1702,1.181
1703,0.887
1704,1.324
1705,1.082
1706,0.964
1707,1.324
1708,0.94
1709,1.048
1710,0.576
1711,0.921
1712,0.913
1713,1.026
1714,1.139
1715,1.097
1716,1.192
1717,0.978
1718,0.982
1719,1.052
1720,0.938
1721,0.998
1722,0.826
1723,1.108
1724,1.123
1725,1.263
1726,0.78
1727,1.133
1728,0.785
1729,0.45
1730,0.586
1731,0.739
1732,0.963
1733,0.517
1734,1.168
1735,0.847
1736,0.737
1737,0.949
1738,1.394
1739,1.45
1740,1.051
1741,1.073
1742,1.343
1743,0.79
1744,0.812
1745,0.97
1746,1.166
1747,1.026
1748,0.806
1749,0.917
1750,1.135
1751,0.991
1752,1.092
1753,1.006
1754,0.783
1755,0.858
1756,0.594
1757,0.986
1758,1.272
1759,1.411
1760,1.451
1761,1.351
1762,0.98
1763,0.936
1764,0.835
1765,0.758
1766,1.015
1767,1.191
1768,0.8
1769,0.92
1770,0.624
1771,0.861
1772,0.758
1773,0.829
1774,0.619
1775,0.832
1776,0.861
1777,0.982
1778,1.325
1779,0.922
1780,1.01
1781,1.039
1782,0.609
1783,0.555
1784,1.052
1785,0.873
1786,0.937
1787,1.414
1788,0.997
1789,1.672
1790,1.583
1791,1.178
1792,1.156
1793,0.841
1794,0.655
1795,0.768
1796,0.829
1797,1.175
1798,1.284
1799,0.874
1800,0.536
1801,1.29
1802,1.111
1803,0.825
1804,0.797
1805,0.879
1806,0.731
1807,0.8
1808,0.789
1809,0.85
1810,0.918
1811,0.986
1812,0.834
1813,0.993
1814,1.173
1815,0.775
1816,1.063
1817,1.102
1818,0.69
1819,1.131
1820,0.984
1821,1.239
1822,1.057
1823,0.942
1824,0.565
1825,1.268
1826,1.23
1827,0.735
1828,0.973
1829,0.618
1830,1.52
1831,1.164
1832,0.987
1833,1.087
1834,1.181
1835,1.598
1836,1.286
1837,0.933
1838,0.948
1839,0.803
1840,0.837
1841,0.692
1842,1.126
1843,0.746
1844,0.59
1845,1.11
1846,1.24
1847,1.046
1848,1.228
1849,0.849
1850,0.987
1851,1.128
1852,0.849
1853,1.016
1854,0.938
1855,0.879
1856,0.868
1857,0.684
1858,0.868
1859,0.712
1860,1.203
1861,0.917
1862,1.139
1863,1.015
1864,0.513
1865,0.601
1866,0.943
1867,0.716
1868,1.118
1869,0.885
1870,0.735
1871,0.737
1872,0.747
1873,0.529
1874,0.577
1875,0.489
1876,0.924
1877,0.777
1878,1.388
1879,1.301
1880,1.087
1881,1.182
1882,1.163
1883,0.809
1884,0.916
1885,0.725
1886,1.29
1887,0.951
1888,1.012
1889,1.046
1890,1.401
1891,1.236
1892,1.307
1893,1.099
1894,1.445
1895,1.004
1896,1.23
1897,0.864
1898,0.551
1899,1.108
1900,1.379
1901,1.276
1902,1.198
1903,1.069
1904,1.166
1905,1.085
1906,1.034
1907,1.07
1908,0.956
1909,0.803
1910,0.914
1911,0.996
1912,0.882
1913,1.079
1914,1.047
1915,1.491
1916,0.825
1917,0.815
1918,0.494
1919,0.709
1920,0.649
1921,0.826
1922,0.641
1923,0.818
1924,0.473
1925,1.086
1926,1.071
1927,0.802
1928,0.924
1929,0.56
1930,0.809
1931,0.534
1932,0.808
1933,0.665
1934,0.607
1935,1.043
1936,1.358
1937,1.287
1938,1.338
1939,0.707
1940,1.356
1941,1.484
1942,1.657
1943,1.139
1944,0.992
1945,1.013
1946,0.822
1947,0.736
1948,1.049
1949,0.968
1950,0.714
1951,0.802
1952,1.112
1953,1.284
1954,0.925
1955,0.864
1956,1.058
1957,1.065
1958,1.1
1959,0.847
1960,1.072
1961,0.918
1962,0.996
1963,1.327
1964,0.574
1965,1.133
1966,0.857
1967,0.845
1968,0.772
1969,1.043
1970,0.869
1971,1.039
1972,0.65
1973,1.115
1974,1.221
1975,0.902
1976,0.475
1977,0.38
1978,1.248
1979,1.432
1980,1.187
1981,1.159
1982,1.008
1983,1.211
1984,1.198
1985,0.75
1986,0.887
1987,0.494
1988,0.515
1989,0.827
1990,0.705
1991,0.768
1992,0.82
1993,1.451
1994,0.925
1995,1.168
1996,1.139
1997,0.916
1998,1.526
1999,1.122
2000,1.122
2001,0.871
2002,0.816
2003,1.174
2004,1.026