,big kahuna,mud,wet foot,little kahuna,vodka,david,SNOTEL,mystery
12-Mar,1.111,0.628,1.627,-0.387,2.077,2.59,1.1111,13.162
13-Mar,3.122,1.132,2.633,0.62,4.091,4.605,2.2222,13.664
14-Mar,1.111,1.132,-0.387,0.62,1.07,1.078,-0.55556,5.626
15-Mar,-0.398,-0.884,-2.403,-1.395,-0.442,-0.939,-1.6667,1.097
16-Mar,-0.902,-0.884,-1.899,-1.899,-0.946,-0.435,-1.6667,-2.43
17-Mar,0.608,0.628,-0.891,-0.387,0.566,-0.435,-0.55556,1.601
18-Mar,-1.405,-0.884,-2.907,-1.395,-1.451,-1.948,-2.7778,9.145
19-Mar,-1.405,-1.388,-3.411,-1.899,-1.955,-1.948,-3.3333,9.145
20-Mar,-1.405,-1.388,-3.411,-2.403,-0.946,-1.444,-2.2222,8.643
21-Mar,0.608,0.124,-0.387,-0.891,1.07,1.078,-0.55556,3.111
22-Mar,-1.405,-0.884,-3.411,-1.395,-1.955,-1.948,-3.3333,2.104
23-Mar,-2.412,-1.893,-4.419,-2.403,-2.964,-2.958,-3.8889,-0.918
24-Mar,-3.419,-3.406,-5.428,-4.419,-3.468,-3.463,-3.3333,-0.414
25-Mar,-4.426,-3.911,-6.437,-4.924,-3.973,-3.968,-3.3333,-3.438
26-Mar,-2.412,-1.893,-4.924,-2.403,-2.964,-3.463,-4.4444,-2.43
27-Mar,0.105,0.628,-1.395,0.116,-0.442,-0.435,-0.55556,2.607
28-Mar,0.608,1.132,-0.891,0.116,1.07,0.07,0,2.104
29-Mar,-0.902,-0.884,-2.403,-1.395,-1.451,-0.939,-1.6667,-1.422
30-Mar,2.117,1.132,0.62,0.62,2.581,2.59,1.1111,3.614
31-Mar,-0.398,-0.38,-1.395,-0.891,0.062,0.574,0,0.09
1-Apr,-0.398,-0.38,-1.395,-0.891,-0.442,-0.939,-3.3333,-0.414
2-Apr,-4.93,-4.415,-6.942,-4.419,-4.983,-5.988,-6.6667,-2.43
3-Apr,-3.922,-3.406,-6.437,-4.419,-3.468,-3.968,-5,-2.43
4-Apr,0.105,0.124,-1.899,-0.387,-0.442,-0.435,-1.1111,2.607
5-Apr,1.614,1.132,1.123,1.123,2.077,2.59,2.2222,5.123
6-Apr,2.62,1.636,1.627,1.123,3.084,3.094,2.7778,7.135
7-Apr,2.62,2.14,0.62,2.13,2.077,2.086,1.6667,6.129
8-Apr,2.117,2.14,0.116,2.13,1.573,1.582,0.55556,5.123
9-Apr,1.111,1.132,-0.387,1.123,1.07,1.078,0.55556,4.117
10-Apr,3.122,2.14,2.13,1.627,3.588,3.598,2.7778,4.62
11-Apr,2.62,2.14,0.116,2.13,2.581,1.582,1.1111,3.614
12-Apr,-0.902,-0.38,-2.403,-0.891,-0.946,-1.948,-2.2222,3.614
13-Apr,-1.405,-0.38,-2.907,-0.891,-1.451,-1.948,-2.2222,-0.414
14-Apr,2.62,1.636,0.62,1.627,2.077,2.086,1.1111,5.626
15-Apr,2.62,2.14,0.62,1.627,2.581,2.086,1.1111,6.129
16-Apr,0.105,0.124,-1.899,0.116,-0.442,-0.939,-1.6667,3.614
17-Apr,-0.398,0.124,-2.403,-0.387,-0.946,-1.444,-1.6667,3.111
18-Apr,-1.405,-0.884,-3.411,-1.899,-0.946,-0.939,-2.7778,-0.414
19-Apr,1.614,1.636,0.62,0.62,2.581,4.102,3.3333,1.097
20-Apr,3.625,2.643,1.627,2.13,4.595,5.109,4.4444,2.104
21-Apr,4.128,2.643,0.62,3.64,3.084,2.086,2.2222,6.129
22-Apr,0.105,1.132,-0.387,-0.387,2.077,2.086,1.1111,-0.918
23-Apr,4.128,1.636,-0.387,1.123,2.581,3.598,2.7778,-0.918